NAME,TEAM,OPP,GAME_ID,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,GAME_ID_AVG,AWAYORHOME,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,AWAY_TEAM,AWAY_ID,HOME_TEAM,HOME_ID,PERIOD,GAME_CLOCK,AWAY_SCORE,HOME_SCORE,START_TIME,GAME_STATUS,EASY_MOMENT,HARD_MOMENT,SCORE,DIFFERENTIAL,GAME_CLOCK_,PTS_PROJ,REB_PROJ,AST_PROJ,PTS+REB+AST_PROJ,_PROJ
Alec Burks,NYK,CLE,0022100709,202692,46,23,23,0.5,27.538695652173914,3.4565217391304346,8.956521739130435,0.386,1.8695652173913044,4.695652173913044,0.398,2.6956521739130435,3.217391304347826,0.838,0.5652173913043478,3.782608695652174,4.3478260869565215,2.5217391304347827,0.9347826086956522,1.2173913043478262,0.2608695652173913,0.41304347826086957,2.3260869565217392,2,11.478260869565217,60,0,0,0022100709,away,ACTIVE,202692.0,18,nan,Bench,On Bench,1,nan,nan,3,0,0,2,0,0.0,0,1.0,2,0,0,0,0.0,16,9.966666666666667,20,4,0,0,0,0,2,0,2,0,1,0,0.0,0,1,0,0.0,2022-01-24 20:42,Base Set,Common,2,Assist,2020-12-28 00:30:00+00:00,New York Knicks,12000,11545.0,0.0,455.0,0.0,0.0,12.0,46,21.05,27.78,35.29,626.0,True,False,False,False,VISIBLE,42cd9426-1f34-4d3f-a393-c70ba09a74eb,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+42cd9426-1f34-4d3f-a393-c70ba09a74eb,Base Set,Common,2,Assist,12000,46,21.05,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Assist,Base Set-Common-2-Assist,50-50,0,Q2 - 00:00.00,5.739130434782608,4.173913043478261,4.260869565217392,14.173913043478262,0
Cam Reddish,NYK,CLE,0022100709,1629629,1,1,0,1.0,5.395,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,0,0,0022100709,away,ACTIVE,1629629.0,21,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-24 21:10,Base Set,Common,3,Dunk,2021-10-21 23:30:00+00:00,Atlanta Hawks,60000,35044.0,0.0,13008.0,13481.0,0.0,2.0,3,0.0,0.0,0.0,2650.0,nan,nan,nan,nan,VISIBLE,c7cf6044-ec3e-46cf-a0c2-c4b49b841a5b,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+c7cf6044-ec3e-46cf-a0c2-c4b49b841a5b,Throwdowns,Rare,2,Dunk,1800,84,0.0,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-3-Dunk,Throwdowns-Rare-2-Dunk,50-50,0,Q2 - 00:00.00,1.0,1.0,0.0,2.0,0
Evan Fournier,NYK,CLE,0022100709,203095,45,22,23,0.489,28.996703703703705,4.955555555555556,11.822222222222223,0.419,2.7333333333333334,6.955555555555556,0.393,1.0444444444444445,1.4222222222222223,0.734,0.4888888888888889,2.3777777777777778,2.8666666666666667,1.8222222222222222,1.3111111111111111,0.8666666666666667,0.24444444444444444,0.4,1.9333333333333333,1,13.688888888888888,-66,0,0,0022100709,away,ACTIVE,203095.0,13,SG,Starter,In Play,1,nan,nan,0,0,0,7,3,0.428571428571429,0,0.0,0,0,0,0,0.0,39,14.416666666666666,30,-9,7,3,0,2,0,0,0,0,4,1,0.25,0,3,2,0.666666666666666,2022-01-24 21:11,Base Set,Common,2,Layup,2021-02-06 00:00:00+00:00,Orlando Magic,35000,31453.0,0.0,2391.0,1173.0,0.0,12.0,5,0.0,0.0,0.0,2035.0,False,False,False,False,VISIBLE,3cd32a2f-8590-4c1d-bdfe-dc00f117b1c4,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3cd32a2f-8590-4c1d-bdfe-dc00f117b1c4,Metallic Gold LE,Rare,1,3 Pointer,299,375,0.27,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Layup,Metallic Gold LE-Rare-1-3 Pointer,50-50,0,Q2 - 00:00.00,13.844444444444443,1.4333333333333333,0.9111111111111111,16.188888888888886,0
Immanuel Quickley,NYK,CLE,0022100709,1630193,43,21,22,0.488,22.320038759689922,3.395348837209302,8.813953488372093,0.385,1.7674418604651163,5.069767441860465,0.349,1.697674418604651,1.8604651162790697,0.913,0.37209302325581395,2.0697674418604652,2.441860465116279,2.8372093023255816,1.255813953488372,0.6744186046511628,0.06976744186046512,0.4186046511627907,2.186046511627907,1,10.255813953488373,168,0,0,0022100709,away,ACTIVE,1630193.0,5,nan,Bench,On Bench,1,nan,nan,2,0,0,3,1,0.333333333333333,0,0.0,1,0,0,0,0.0,11,8.716666666666667,20,9,3,0,0,0,0,0,0,0,3,1,0.333333333333333,1,0,0,0.0,2022-01-24 21:08,Base Set,Common,2,Handles,2021-01-17 18:00:00+00:00,New York Knicks,40000,35758.0,0.0,2639.0,1606.0,0.0,12.0,9,28.57,28.57,50.0,783.0,False,False,True,True,VISIBLE,6938e461-3c73-4901-ba5c-f81b924ff2de,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6938e461-3c73-4901-ba5c-f81b924ff2de,Summer of '21,Fandom,S21,3 Pointer,1668,222,0.0,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Handles,Summer of '21-Fandom-S21-3 Pointer,50-50,0,Q2 - 00:00.00,8.127906976744185,1.2209302325581395,3.4186046511627906,12.767441860465116,0
Jericho Sims,NYK,CLE,0022100709,1630579,14,6,8,0.429,6.36,0.42857142857142855,0.5714285714285714,0.75,0.0,0.0,0.0,0.21428571428571427,0.2857142857142857,0.75,0.5714285714285714,1.0,1.5714285714285714,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.0,0.42857142857142855,0,1.0714285714285714,7,0,0,0022100709,away,ACTIVE,1630579.0,45,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,nan,nan,50-50,0,Q2 - 00:00.00,0.5357142857142857,0.7857142857142858,0.03571428571428571,1.3571428571428574,0
Julius Randle,NYK,CLE,0022100709,203944,45,23,22,0.511,35.518,6.8,16.444444444444443,0.414,1.711111111111111,5.488888888888889,0.312,3.577777777777778,4.711111111111111,0.759,1.7555555555555555,8.244444444444444,10.0,5.088888888888889,3.4444444444444446,0.7333333333333333,0.6444444444444445,0.9111111111111111,2.8,4,18.88888888888889,-106,20,0,0022100709,away,ACTIVE,203944.0,30,PF,Starter,In Play,1,nan,nan,4,0,0,9,3,0.333333333333333,0,2.0,0,0,4,3,0.75,44,17.116666666666667,33,-11,11,0,2,1,4,1,5,1,5,2,0.4,3,4,1,0.25,2022-01-24 21:10,Base Set,Common,3,Dunk,2021-10-22 23:00:00+00:00,New York Knicks,60000,36834.0,0.0,11235.0,13227.0,0.0,2.0,3,0.0,0.0,0.0,2674.0,nan,nan,nan,nan,VISIBLE,5d26a108-0de6-442d-9719-8ad71488dbdb,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+5d26a108-0de6-442d-9719-8ad71488dbdb,2021 All-Star Game,Rare,2,Dunk,2021,163,5.16,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-3-Dunk,2021 All-Star Game-Rare-2-Dunk,50-50,0,Q2 - 00:00.00,20.444444444444443,10.0,6.544444444444444,36.98888888888889,0
Kemba Walker,NYK,CLE,0022100709,202689,26,14,12,0.538,27.12153846153846,4.615384615384615,11.192307692307692,0.412,2.3846153846153846,5.961538461538462,0.4,1.8461538461538463,2.269230769230769,0.814,0.4230769230769231,3.0,3.423076923076923,3.576923076923077,1.3846153846153846,0.8076923076923077,0.19230769230769232,0.5,1.2307692307692308,3,13.461538461538462,-124,1,1,0022100709,away,ACTIVE,202689.0,8,PG,Starter,In Play,1,nan,nan,1,0,0,5,3,0.6,0,1.0,1,0,0,0,0.0,34,12.933333333333334,28,-6,6,2,4,2,0,0,0,1,2,0,0.0,1,3,3,1.0,2022-01-24 21:10,Base Set,Common,2,Assist,2021-01-17 18:00:00+00:00,Boston Celtics,35000,32624.0,0.0,1956.0,433.0,0.0,12.0,5,0.0,0.0,25.0,2090.0,False,False,False,False,VISIBLE,05cd517d-cffd-44fd-bdd1-2a7294c4c986,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+05cd517d-cffd-44fd-bdd1-2a7294c4c986,Metallic Gold LE,Rare,2,Jump Shot,499,150,0.0,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Assist,Metallic Gold LE-Rare-2-Jump Shot,50-50,0,Q2 - 00:00.00,12.73076923076923,1.7115384615384615,2.7884615384615383,17.23076923076923,0
Miles McBride,NYK,CLE,0022100709,1630540,18,8,10,0.444,8.105185185185185,0.8333333333333334,3.0,0.278,0.2777777777777778,1.5555555555555556,0.179,0.16666666666666666,0.2222222222222222,0.75,0.1111111111111111,0.7777777777777778,0.8888888888888888,1.1666666666666667,0.16666666666666666,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.8333333333333334,0,2.111111111111111,34,0,0,0022100709,away,ACTIVE,1630540.0,2,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,nan,nan,50-50,0,Q2 - 00:00.00,1.0555555555555556,0.4444444444444444,0.5833333333333334,2.0833333333333335,0
Nerlens Noel,NYK,CLE,0022100709,203457,19,9,10,0.474,23.170087719298248,1.4736842105263157,2.736842105263158,0.538,0.0,0.15789473684210525,0.0,0.7894736842105263,0.9473684210526315,0.833,2.210526315789474,3.6842105263157894,5.894736842105263,0.7368421052631579,0.8421052631578947,1.1578947368421053,1.4736842105263157,0.21052631578947367,2.5789473684210527,1,3.736842105263158,-24,0,0,0022100709,away,ACTIVE,203457.0,3,C,Starter,In Play,1,nan,nan,0,0,0,1,1,1.0,0,1.0,1,0,1,0,0.0,39,14.816666666666666,30,-9,2,0,2,0,4,1,5,1,0,0,0.0,0,1,1,1.0,2022-01-24 20:42,Base Set,Common,2,Block,2021-01-01 00:30:00+00:00,New York Knicks,15000,14371.0,0.0,629.0,1.0,0.0,12.0,12,-20.0,9.09,20.0,825.0,False,False,False,False,VISIBLE,dfe7eb65-dd07-4037-9468-4172e288c76b,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+dfe7eb65-dd07-4037-9468-4172e288c76b,Metallic Gold LE,Rare,1,Dunk,299,211,-4.95,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Block,Metallic Gold LE-Rare-1-Dunk,50-50,0,Q2 - 00:00.00,3.868421052631579,7.947368421052632,0.3684210526315789,12.18421052631579,0
Obi Toppin,NYK,CLE,0022100709,1630167,42,21,21,0.5,15.698253968253969,2.8333333333333335,5.404761904761905,0.524,0.30952380952380953,1.5714285714285714,0.197,1.3571428571428572,1.7619047619047619,0.77,0.9285714285714286,2.619047619047619,3.5476190476190474,0.9761904761904762,0.7619047619047619,0.2857142857142857,0.47619047619047616,0.42857142857142855,1.380952380952381,1,7.333333333333333,104,1,0,0022100709,away,ACTIVE,1630167.0,1,nan,Bench,On Bench,1,nan,nan,0,0,0,3,3,1.0,0,0.0,1,0,0,0,0.0,6,6.883333333333333,17,11,8,0,2,0,1,0,1,1,2,2,1.0,0,1,1,1.0,2022-01-24 21:11,Base Set,Common,3,Dunk,2021-11-16 00:30:00+00:00,New York Knicks,60000,30535.0,0.0,13492.0,17631.0,0.0,2.0,3,0.0,0.0,50.0,2315.0,nan,nan,nan,nan,VISIBLE,ec5a581d-0963-4404-8166-2d060c7bb2e1,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+ec5a581d-0963-4404-8166-2d060c7bb2e1,Metallic Silver FE,Fandom,3,Dunk,17828,13,8.33,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-3-Dunk,Metallic Silver FE-Fandom-3-Dunk,50-50,0,Q2 - 00:00.00,11.666666666666666,2.7738095238095237,0.48809523809523814,14.928571428571427,0
Quentin Grimes,NYK,CLE,0022100709,1629656,29,15,14,0.517,14.794942528735632,1.8275862068965518,4.551724137931035,0.402,1.4137931034482758,3.6206896551724137,0.39,0.20689655172413793,0.3103448275862069,0.667,0.3448275862068966,1.1379310344827587,1.4827586206896552,0.9655172413793104,0.5862068965517241,0.5517241379310345,0.13793103448275862,0.06896551724137931,1.3793103448275863,0,5.275862068965517,-38,0,0,0022100709,away,ACTIVE,1629656.0,6,nan,Bench,On Bench,1,nan,nan,0,0,0,2,0,0.0,0,1.0,0,0,0,0,0.0,11,9.583333333333334,20,9,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,nan,nan,50-50,0,Q2 - 00:00.00,2.6379310344827585,0.7413793103448276,0.48275862068965514,3.8620689655172415,0
RJ Barrett,NYK,CLE,0022100709,1629628,40,21,19,0.525,32.5395,6.15,14.825,0.415,1.95,5.475,0.356,2.95,4.225,0.698,0.8,5.075,5.875,2.525,1.95,0.5,0.325,1.275,2.1,3,17.2,-124,3,0,0022100709,away,ACTIVE,1629628.0,9,SF,Starter,In Play,1,nan,nan,3,0,0,6,3,0.5,0,2.0,0,0,2,1,0.5,39,16.383333333333333,32,-7,7,3,6,0,1,1,2,0,1,0,0.0,1,5,3,0.6,2022-01-24 20:41,Base Set,Common,2,Dunk,2021-02-02 01:00:00+00:00,New York Knicks,35000,31715.0,0.0,2678.0,613.0,0.0,12.0,6,0.0,0.0,0.0,2077.0,False,False,False,False,VISIBLE,edada771-9724-41a0-b084-7b3b6bd5cb57,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+edada771-9724-41a0-b084-7b3b6bd5cb57,Rising Stars,Rare,2,Dunk,2021,205,-0.97,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Dunk,Rising Stars-Rare-2-Dunk,50-50,0,Q2 - 00:00.00,15.6,4.9375,4.2625,24.8,0
Taj Gibson,NYK,CLE,0022100709,201959,30,15,15,0.5,18.663333333333334,1.4,2.8333333333333335,0.494,0.13333333333333333,0.5,0.267,0.6333333333333333,0.9,0.704,1.6333333333333333,2.8,4.433333333333334,0.7,0.7,0.43333333333333335,0.8666666666666667,0.16666666666666666,2.7,0,3.566666666666667,42,0,0,0022100709,away,ACTIVE,201959.0,67,nan,Bench,On Bench,1,nan,nan,0,0,0,3,2,0.666666666666666,0,1.0,0,0,2,2,1.0,11,9.183333333333334,20,9,6,0,2,0,5,1,6,1,0,0,0.0,0,3,2,0.666666666666666,2022-01-24 21:07,Base Set,Common,2,Dunk,2021-03-25 23:30:00+00:00,New York Knicks,12000,10410.0,0.0,942.0,648.0,0.0,12.0,34,161.54,183.33,183.33,228.0,True,False,False,False,VISIBLE,38d995f9-86a3-4eb0-a009-39cefee9ed4a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+38d995f9-86a3-4eb0-a009-39cefee9ed4a,Base Set,Common,2,Dunk,12000,34,161.54,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,50-50,0,Q2 - 00:00.00,7.783333333333333,8.216666666666667,0.35,16.35,0
Brandon Goodwin,CLE,NYK,0022100709,1629164,9,6,3,0.667,15.129074074074074,2.111111111111111,5.666666666666667,0.373,0.4444444444444444,1.6666666666666667,0.267,0.3333333333333333,1.1111111111111112,0.3,0.6666666666666666,1.6666666666666667,2.3333333333333335,3.2222222222222223,0.6666666666666666,1.0,0.0,0.7777777777777778,1.2222222222222223,1,5.0,-11,0,0,0022100709,home,ACTIVE,1629164.0,00,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,nan,nan,50-50,0,Q2 - 00:00.00,2.5,1.1666666666666667,1.6111111111111112,5.277777777777779,0
Cedi Osman,CLE,NYK,0022100709,1626224,35,23,12,0.657,22.605666666666668,3.7714285714285714,8.742857142857142,0.431,2.0,5.571428571428571,0.359,1.1714285714285715,1.8,0.651,0.42857142857142855,2.057142857142857,2.4857142857142858,1.6571428571428573,0.8571428571428571,0.9714285714285714,0.22857142857142856,0.37142857142857144,1.8571428571428572,1,10.714285714285714,35,0,0,0022100709,home,ACTIVE,1626224.0,16,nan,Bench,On Bench,1,nan,nan,2,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,12,6.833333333333333,14,2,0,0,0,0,1,0,1,0,0,0,0.0,0,1,0,0.0,2022-01-24 21:10,Base Set,Common,2,Block,2021-01-13 00:30:00+00:00,Cleveland Cavaliers,40000,35778.0,0.0,3226.0,1050.0,1.0,12.0,4,0.0,0.0,0.0,1589.0,False,False,False,False,VISIBLE,4e6d9c30-d5dd-4c26-b282-dcc298badd2c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4e6d9c30-d5dd-4c26-b282-dcc298badd2c,Metallic Gold LE,Rare,1,Assist,299,205,0.0,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Block,Metallic Gold LE-Rare-1-Assist,50-50,0,Q2 - 00:00.00,5.357142857142857,2.242857142857143,2.8285714285714287,10.428571428571429,0
Darius Garland,CLE,NYK,0022100709,1629636,41,26,15,0.634,34.76390243902439,7.512195121951219,16.024390243902438,0.469,2.4878048780487805,6.829268292682927,0.364,2.317073170731707,2.5365853658536586,0.913,0.5609756097560976,2.7804878048780486,3.341463414634146,8.097560975609756,3.682926829268293,1.2439024390243902,0.0975609756097561,0.5853658536585366,1.7804878048780488,2,19.829268292682926,307,15,1,0022100709,home,ACTIVE,1629636.0,10,PG,Starter,In Play,1,nan,nan,7,0,0,11,3,0.272727272727273,0,1.0,0,0,0,0,0.0,38,17.65,34,-4,6,0,4,0,1,0,1,0,2,0,0.0,2,9,3,0.333333333333333,2022-01-24 21:01,Base Set,Common,3,Assist,2021-11-30 01:30:00+00:00,Cleveland Cavaliers,60000,11355.0,0.0,4305.0,44823.0,0.0,2.0,3,-25.0,0.0,0.0,384.0,nan,nan,nan,nan,VISIBLE,30f10dfd-439e-4731-b0b8-ada442ed2a1b,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+30f10dfd-439e-4731-b0b8-ada442ed2a1b,Metallic Gold LE,Rare,2,Assist,499,419,-7.91,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-3-Assist,Metallic Gold LE-Rare-2-Assist,50-50,0,Q2 - 00:00.00,15.914634146341463,2.6707317073170733,11.048780487804878,29.634146341463413,0
Dean Wade,CLE,NYK,0022100709,1629731,32,17,15,0.531,18.42796875,1.71875,4.03125,0.426,0.8125,2.53125,0.321,0.34375,0.5625,0.611,0.75,2.40625,3.15625,1.09375,0.34375,0.46875,0.09375,0.0625,1.46875,0,4.59375,3,1,0,0022100709,home,ACTIVE,1629731.0,32,SF,Starter,In Play,1,nan,nan,0,0,0,2,1,0.5,1,0.0,1,0,0,0,0.0,33,14.934,27,-6,3,0,0,0,1,0,1,2,2,1,0.5,1,0,0,0.0,2022-01-24 21:09,Base Set,Common,2,Dunk,2021-02-24 00:00:00+00:00,Cleveland Cavaliers,12000,11197.0,0.0,574.0,229.0,0.0,12.0,10,25.0,25.0,11.11,527.0,True,False,False,False,VISIBLE,c8248c27-b231-4ad0-b431-9908f6268ffa,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c8248c27-b231-4ad0-b431-9908f6268ffa,Base Set,Common,2,Dunk,12000,10,25.0,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,50-50,0,Q2 - 00:00.00,5.296875,2.578125,0.546875,8.421875,0
Dylan Windler,CLE,NYK,0022100709,1629685,31,19,12,0.613,10.505268817204302,1.032258064516129,2.3225806451612905,0.444,0.6774193548387096,1.6774193548387097,0.404,0.22580645161290322,0.25806451612903225,0.875,0.3870967741935484,1.4838709677419355,1.8709677419354838,0.8064516129032258,0.3548387096774194,0.25806451612903225,0.06451612903225806,0.12903225806451613,1.032258064516129,0,2.967741935483871,4,0,0,0022100709,home,ACTIVE,1629685.0,9,nan,Bench,On Bench,1,nan,nan,0,0,0,2,1,0.5,1,1.0,2,0,1,0,0.0,17,6.35,11,-6,2,0,2,0,2,0,2,0,1,0,0.0,2,1,1,1.0,2022-01-24 21:09,Base Set,Common,2,3 Pointer,2020-12-24 00:00:00+00:00,Cleveland Cavaliers,4000,3720.0,0.0,208.0,72.0,0.0,12.0,79,-1.25,2.6,8.22,149.0,True,True,True,True,VISIBLE,ec488c41-8f47-41b3-976e-211080277c8d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ec488c41-8f47-41b3-976e-211080277c8d,Base Set,Common,2,3 Pointer,4000,79,-1.25,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,50-50,0,Q2 - 00:00.00,3.4838709677419355,2.935483870967742,0.4032258064516129,6.822580645161291,0
Ed Davis,CLE,NYK,0022100709,202334,13,7,6,0.538,8.722948717948718,0.6923076923076923,0.9230769230769231,0.75,0.0,0.0,0.0,0.07692307692307693,0.46153846153846156,0.167,0.38461538461538464,2.4615384615384617,2.8461538461538463,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.07692307692307693,1.3076923076923077,0,1.4615384615384615,-22,0,0,0022100709,home,ACTIVE,202334.0,21,C,Starter,On Bench,1,nan,nan,1,0,0,0,0,0.0,0,1.0,1,0,2,2,1.0,19,9.932666666666666,27,8,2,0,0,2,1,0,1,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NYK,1610612752,CLE,1610612739,2,00:00.00,50,50,2022-01-24 19:00:00-05:00,Half,nan,nan,50-50,0,Q2 - 00:00.00,2.730769230769231,2.4230769230769234,1.0384615384615385,6.1923076923076925,0
